mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,varieties
207.3271079,218.3816314,223.449343,27.42189788,22.63996187,24.28236056,100.0404828,19.16724257,223.5687939,7.696553332,8.478997223,24.04748797,0
203.7721072,216.2765138,218.4601553,29.74857187,25.38501446,27.54601775,90.72626448,18.47326659,218.9961489,20.73020557,10.89243345,26.71935848,0
194.2585096,204.1793373,192.0207746,50.58259317,28.61165215,44.33154705,62.22952784,25.93923881,206.9233514,59.23363152,37.72651395,29.77294502,0
194.2585096,204.1793373,192.0207746,50.58259317,28.61165215,44.33154705,62.22952784,25.93923881,206.9233514,59.23363152,37.72651395,29.77294502,0
89.61785735,164.4056014,103.7177381,6.593708348,4.974998283,6.330840992,65.67015188,116.1154476,164.4056014,0.666158183,7.174914669,4.974998283,0
200.5463377,213.6225763,216.4995103,29.78743357,24.39665231,26.45262756,95.94273187,20.0257545,216.8716274,6.925503516,8.799122687,25.81826915,0
218.6541265,217.5131904,212.9545317,23.82909142,21.11136514,25.15459005,53.42938218,8.745919272,219.8386108,57.22085994,7.440555256,21.78366108,0
85.64461799,163.9148649,103.5093849,5.930676409,4.635498201,5.687293956,66.76853046,121.8928799,163.9148649,0.662043415,6.700801438,4.635498201,0
220.0880698,218.4826552,214.8834,25.94974842,22.83201757,26.99872006,61.07370203,7.917994785,221.1297689,65.84705147,6.856898142,24.00816796,0
214.417595,213.2165991,208.9378661,26.71436636,24.2716166,28.77202045,58.31720622,8.778409215,215.5098997,61.69298321,8.402046402,24.97621216,0
200.053337,215.5520027,216.5830831,31.73540502,25.72132914,28.43281464,91.08862017,21.72934909,217.6010266,10.71391799,11.06499744,27.05528422,0
221.2033596,219.3523618,216.1510868,24.35796748,21.56471421,24.80900174,53.67113171,7.467356024,222.1257592,62.22008723,5.459664805,22.62553687,0
212.7816341,218.2891391,219.9060134,30.09725004,26.84670682,29.9736273,94.97269604,10.6102078,221.0753813,24.92871279,6.85485591,28.06155102,0
207.4057918,206.7733584,201.1841151,30.41498146,26.63462361,32.19319064,61.67574624,11.67193064,209.6426616,61.1761995,10.09332477,27.38618918,0
207.4057918,206.7733584,201.1841151,30.41498146,26.63462361,32.19319064,61.67574624,11.67193064,209.6426616,61.1761995,10.09332477,27.38618918,0
89.15059783,164.9011623,103.392157,6.727726089,5.249820237,6.637783007,65.63303479,117.265019,164.9011623,0.720246995,7.21066523,5.249820237,0
173.9215992,195.3539503,174.4485979,61.40422087,30.22986141,50.25773672,59.91962621,46.23765017,198.8817094,53.90132373,47.47390691,32.25827215,0
216.377102,214.6748406,210.0205961,24.22198369,20.75161812,25.15597855,44.37272378,9.370198049,217.4693106,55.66443913,5.6717919,22.08905075,0
208.9330203,203.1156681,197.1204067,27.72226836,26.56148133,31.67015495,44.10746056,15.95216051,209.270273,58.8321584,12.12279347,27.27791424,1
207.3064541,202.1160346,195.8078966,29.0542909,29.43694695,35.94307398,48.31671832,17.33895979,208.3443525,60.868506,17.49128735,27.58539892,1
215.6567637,210.7939047,207.7898314,25.04051346,25.18471692,29.06067873,61.28100595,10.56857709,215.8498007,71.16145741,9.11228293,24.71869758,1
213.9581659,207.9465253,201.4406511,25.70452826,25.08689598,31.6126719,44.03618014,16.36157624,214.1073558,61.49844836,14.0259941,25.40551801,1
203.4582984,201.6806804,195.2877856,28.92230704,26.43706968,33.36242376,65.02922368,13.46854089,204.787089,63.94589638,12.44711535,27.15048417,1
212.3634642,207.4119154,203.2720799,28.00075772,26.31638436,30.69867335,49.25862081,12.81444166,213.0628543,62.92379308,9.571292281,26.70883534,1
205.2909686,201.1878859,193.4682927,28.73383705,25.54013872,30.6247098,30.83651926,17.51749314,206.6673764,36.23836465,12.15859544,26.96947944,1
208.8261345,207.9150911,203.0939092,29.89214562,27.39042812,33.84253379,77.37063273,10.25653187,210.1377312,66.21489697,10.83386761,28.0076911,1
208.3210841,203.0767847,198.652818,23.53595072,21.46485229,25.48505915,43.52442733,12.86508207,208.5639003,61.14493612,6.928626076,23.06309727,1
207.1600352,202.5991881,198.2407463,28.30823364,25.93369223,30.7108624,50.13404596,12.66644429,207.6904349,64.94972321,8.416106371,27.25957624,1
213.001687,207.5085727,203.7331324,26.5516898,24.34184478,27.89037719,42.68244617,12.02392404,213.2253845,61.71041088,6.104808115,26.07103063,1
209.7182119,205.5000299,201.647809,27.84367677,24.78885425,28.30540902,40.08215008,11.07679865,210.2656667,56.92820948,6.170059293,26.83574483,1
212.63268,209.5665256,205.1859172,26.14488289,23.78611129,28.03150649,47.74586143,10.39576729,213.2376537,60.77039436,6.437720417,25.00802875,1
